UniProt ID,Gene,Protein name
Q8WZ75,ROBO4,Roundabout homolog 4
P55809,OXCT1,Succinyl-CoA:3-ketoacid coenzyme A transferase 1
Q9BY49,PECR,Peroxisomal trans-2-enoyl-CoA reductase
Q9NZN3,EHD3,EH domain-containing protein 3
P14902,IDO1,Indoleamine 2
Q96C92,ENTR1,Endosome-associated-trafficking regulator 1
O75506,HSBP1,Heat shock factor-binding protein 1
P01225,FSHB,Follitropin subunit beta
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs
Q8NC42,RNF149,E3 ubiquitin-protein ligase RNF149
Q9H7C9,AAMDC,Mth938 domain-containing protein
Q8TAE8,GADD45GIP1,Large ribosomal subunit protein mL64
Q5GAN6,RNASE10,Inactive ribonuclease-like protein 10
P30084,ECHS1,Enoyl-CoA hydratase
Q5SW79,CEP170,Centrosomal protein of 170 kDa
P50053,KHK,Ketohexokinase
O75348,ATP6V1G1,V-type proton ATPase subunit G 1
Q53T59,HS1BP3,HCLS1-binding protein 3
Q8IVF2,AHNAK2,Protein AHNAK2
P12829,MYL4,Myosin light chain 4
Q0VD83,APOBR,Apolipoprotein B receptor
O75061,DNAJC6,Auxilin
Q8WUF8,ARB2A,Cotranscriptional regulator ARB2A
Q13137,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2
P58107,EPPK1,Epiplakin
P08590,MYL3,Myosin light chain 3
Q86X76,NIT1,Deaminated glutathione amidase
Q12841,FSTL1,Follistatin-related protein 1
Q9NR61,DLL4,Delta-like protein 4
Q6YN16,HSDL2,Hydroxysteroid dehydrogenase-like protein 2
Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2
P43487,RANBP1,Ran-specific GTPase-activating protein
Q92835,INPP5D,Phosphatidylinositol 3
Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK
Q9NYZ4,SIGLEC8,Sialic acid-binding Ig-like lectin 8
O60476,MAN1A2,Mannosyl-oligosaccharide 1
P07355,ANXA2,Annexin A2
P07492,GRP,Gastrin-releasing peptide
P21754,ZP3,Zona pellucida sperm-binding protein 3
P07098,LIPF,Gastric triacylglycerol lipase
Q9H3K6,BOLA2,
Q16621,NFE2,Transcription factor NF-E2 45 kDa subunit
O94979,SEC31A,Protein transport protein Sec31A
P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2
Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase
O95825,CRYZL1,Quinone oxidoreductase-like protein 1
Q6UWR7,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6
Q9BV79,MECR,Enoyl-[acyl-carrier-protein] reductase
Q6UY14,ADAMTSL4,ADAMTS-like protein 4
Q5FWE3,PRRT3,Proline-rich transmembrane protein 3
Q8IWT1,SCN4B,Sodium channel subunit beta-4
Q9HB40,SCPEP1,Retinoid-inducible serine carboxypeptidase
Q96DR5,BPIFA2,BPI fold-containing family A member 2
P07942,LAMB1,Laminin subunit beta-1
Q8NFL0,B3GNT7,UDP-GlcNAc:betaGal beta-1
P01189,POMC,Pro-opiomelanocortin
Q7L266,ASRGL1,Isoaspartyl peptidase/L-asparaginase
P50914,RPL14,Large ribosomal subunit protein eL14
P09543,CNP,2'
P02458,COL2A1,Collagen alpha-1(II) chain
Q24JP5,TMEM132A,Transmembrane protein 132A
P09681,GIP,Gastric inhibitory polypeptide
Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase
Q9BVM4,GGACT,Gamma-glutamylaminecyclotransferase
P33681,CD80,T-lymphocyte activation antigen CD80
Q12982,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
Q96DC8,ECHDC3,Enoyl-CoA hydratase domain-containing protein 3
Q8TCD5,NT5C,5'(3')-deoxyribonucleotidase
Q7Z7M9,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5
Q00872,MYBPC1,Myosin-binding protein C
Q14914,PTGR1,Prostaglandin reductase 1
Q6UW49,SPESP1,Sperm equatorial segment protein 1
P51511,MMP15,Matrix metalloproteinase-15
P08138,NGFR,Tumor necrosis factor receptor superfamily member 16
P15502,ELN,Elastin
Q8NDI1,EHBP1,EH domain-binding protein 1
O43681,GET3,ATPase GET3
O75223,GGCT,Gamma-glutamylcyclotransferase
O43405,COCH,Cochlin
Q9Y2E5,MAN2B2,Epididymis-specific alpha-mannosidase
P02008,HBZ,Hemoglobin subunit zeta
P23919,DTYMK,Thymidylate kinase
Q7Z304,MAMDC2,MAM domain-containing protein 2
P78539,SRPX,Sushi repeat-containing protein SRPX
Q8N4F0,BPIFB2,BPI fold-containing family B member 2
P54687,BCAT1,Branched-chain-amino-acid aminotransferase
Q969H8,MYDGF,Myeloid-derived growth factor
Q96EM0,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase
Q9BXN1,ASPN,Asporin
Q13428,TCOF1,Treacle protein
P14854,COX6B1,Cytochrome c oxidase subunit 6B1
P16035,TIMP2,Metalloproteinase inhibitor 2
P53674,CRYBB1,Beta-crystallin B1
O14960,LECT2,Leukocyte cell-derived chemotaxin-2
O14933,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6
Q8N436,CPXM2,Inactive carboxypeptidase-like protein X2
Q13442,PDAP1,28 kDa heat- and acid-stable phosphoprotein
P23467,PTPRB,Receptor-type tyrosine-protein phosphatase beta
O75154,RAB11FIP3,Rab11 family-interacting protein 3
Q6NUS6,TCTN3,Tectonic-3
Q96FZ7,CHMP6,Charged multivesicular body protein 6
P98161,PKD1,Polycystin-1
Q9BXD5,NPL,N-acetylneuraminate lyase
Q9P2J2,IGSF9,Protein turtle homolog A
Q9BW04,SARG,Specifically androgen-regulated gene protein
Q8WWV6,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
O75711,SCRG1,Scrapie-responsive protein 1
Q6UXI7,VIT,Vitrin
P29692,EEF1D,Elongation factor 1-delta
Q9NQR4,NIT2,Omega-amidase NIT2
Q9BQS7,HEPH,Hephaestin
Q9H3S4,TPK1,Thiamin pyrophosphokinase 1
Q96C24,SYTL4,Synaptotagmin-like protein 4
O60234,GMFG,Glia maturation factor gamma
P51688,SGSH,N-sulphoglucosamine sulphohydrolase
Q969X0,RILPL2,RILP-like protein 2
P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta
P52209,PGD,6-phosphogluconate dehydrogenase
P32320,CDA,Cytidine deaminase
Q6PI73,LILRA6,Leukocyte immunoglobulin-like receptor subfamily A member 6
P08582,MELTF,Melanotransferrin
Q96MK3,FAM20A,Pseudokinase FAM20A
Q8IZF2,ADGRF5,Adhesion G protein-coupled receptor F5
P49593,PPM1F,Protein phosphatase 1F
P05413,FABP3,Fatty acid-binding protein
Q9UBR1,UPB1,Beta-ureidopropionase
Q15388,TOMM20,Mitochondrial import receptor subunit TOM20 homolog
O00194,RAB27B,Ras-related protein Rab-27B
Q6ZMM2,ADAMTSL5,ADAMTS-like protein 5
P45954,ACADSB,Short/branched chain specific acyl-CoA dehydrogenase
P61026,RAB10,Ras-related protein Rab-10
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10
P07093,SERPINE2,Glia-derived nexin
Q7Z7K0,CMC1,COX assembly mitochondrial protein homolog
Q96AG4,LRRC59,Leucine-rich repeat-containing protein 59
P40199,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6
P16410,CTLA4,Cytotoxic T-lymphocyte protein 4
P07288,KLK3,Prostate-specific antigen
Q6H9L7,ISM2,Isthmin-2
Q9Y303,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase
P13796,LCP1,Plastin-2
P02730,SLC4A1,Band 3 anion transport protein
Q86TH1,ADAMTSL2,ADAMTS-like protein 2
P30046,DDT,D-dopachrome decarboxylase
P23560,BDNF,Brain-derived neurotrophic factor
Q9NRR1,CYTL1,Cytokine-like protein 1
P13667,PDIA4,Protein disulfide-isomerase A4
Q8N6C8,LILRA3,Leukocyte immunoglobulin-like receptor subfamily A member 3
Q02817,MUC2,Mucin-2
P98095,FBLN2,Fibulin-2
P02461,COL3A1,Collagen alpha-1(III) chain
P08575,PTPRC,Receptor-type tyrosine-protein phosphatase C
P13727,PRG2,Bone marrow proteoglycan
P35579,MYH9,Myosin-9
Q9Y2Y8,PRG3,Proteoglycan 3
P32971,TNFSF8,Tumor necrosis factor ligand superfamily member 8
P30405,PPIF,Peptidyl-prolyl cis-trans isomerase F
Q6IBS0,TWF2,Twinfilin-2
Q8N114,SHISA5,Protein shisa-5
O43280,TREH,Trehalase
P02818,BGLAP,Osteocalcin
P47972,NPTX2,Neuronal pentraxin-2
Q96NZ9,PRAP1,Proline-rich acidic protein 1
Q96CG8,CTHRC1,Collagen triple helix repeat-containing protein 1
Q9HCU0,CD248,Endosialin
Q9BYJ0,FGFBP2,Fibroblast growth factor-binding protein 2
P39059,COL15A1,Collagen alpha-1(XV) chain
Q6UVK1,CSPG4,Chondroitin sulfate proteoglycan 4
Q6UWP8,SBSN,Suprabasin
O75339,CILP,Cartilage intermediate layer protein 1
P12277,CKB,Creatine kinase B-type
Q8WWQ8,STAB2,Stabilin-2
Q8TDY8,IGDCC4,Immunoglobulin superfamily DCC subclass member 4
P10645,CHGA,Chromogranin-A
P55000,SLURP1,Secreted Ly-6/uPAR-related protein 1
Q9H2X3,CLEC4M,C-type lectin domain family 4 member M
Q9Y646,CPQ,Carboxypeptidase Q
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2
O95965,ITGBL1,Integrin beta-like protein 1
Q9Y251,HPSE,Heparanase
Q15063,POSTN,Periostin
P08217,CELA2A,Chymotrypsin-like elastase family member 2A
Q9UQP3,TNN,Tenascin-N
P17900,GM2A,Ganglioside GM2 activator
P37837,TALDO1,Transaldolase
Q13510,ASAH1,Acid ceramidase
P11279,LAMP1,Lysosome-associated membrane glycoprotein 1
P17174,GOT1,Aspartate aminotransferase
P61916,NPC2,NPC intracellular cholesterol transporter 2
P07602,PSAP,Prosaposin
P60568,IL2,Interleukin-2
Q13651,IL10RA,Interleukin-10 receptor subunit alpha
Q13219,PAPPA,Pappalysin-1
Q9UHF4,IL20RA,Interleukin-20 receptor subunit alpha
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1
P05412,JUN,Transcription factor Jun
Q96AX2,RAB37,Ras-related protein Rab-37
P05112,IL4,Interleukin-4
P01584,IL1B,Interleukin-1 beta
O95760,IL33,Interleukin-33
Q8NHJ6,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4
P35225,IL13,Interleukin-13
P22301,IL10,Interleukin-10
P27540,ARNT,Aryl hydrocarbon receptor nuclear translocator
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8
Q8WV07,LTO1,Protein LTO1 homolog
O43707,ACTN4,Alpha-actinin-4
P28838,LAP3,Cytosol aminopeptidase
Q9NP70,AMBN,Ameloblastin
Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1
Q9HCU5,PREB,Prolactin regulatory element-binding protein
Q13007,IL24,Interleukin-24
Q9UPV0,CEP164,Centrosomal protein of 164 kDa
O60934,NBN,Nibrin
Q96P31,FCRL3,Fc receptor-like protein 3
Q9Y478,PRKAB1,5'-AMP-activated protein kinase subunit beta-1
Q8TCS8,PNPT1,Polyribonucleotide nucleotidyltransferase 1
Q5T4W7,ARTN,Artemin
Q5R372,RABGAP1L,Rab GTPase-activating protein 1-like
Q969V3,NCLN,BOS complex subunit NCLN
Q8N6P7,IL22RA1,Interleukin-22 receptor subunit alpha-1
P14784,IL2RB,Interleukin-2 receptor subunit beta
Q13459,MYO9B,Unconventional myosin-IXb
P19801,AOC1,Diamine oxidase [copper-containing]
Q9NYY1,IL20,Interleukin-20
P57771,RGS8,Regulator of G-protein signaling 8
P20809,IL11,Interleukin-11
Q96PD4,IL17F,Interleukin-17F
O76038,SCGN,Secretagogin
O95715,CXCL14,C-X-C motif chemokine 14
Q03426,MVK,Mevalonate kinase
O14904,WNT9A,Protein Wnt-9a
P26951,IL3RA,Interleukin-3 receptor subunit alpha
Q9Y3P8,SIT1,Signaling threshold-regulating transmembrane adapter 1
Q96DB9,FXYD5,FXYD domain-containing ion transport regulator 5
P48061,CXCL12,Stromal cell-derived factor 1
Q99748,NRTN,Neurturin
Q13574,DGKZ,Diacylglycerol kinase zeta
Q9Y2J8,PADI2,Protein-arginine deiminase type-2
Q04759,PRKCQ,Protein kinase C theta type
Q16552,IL17A,Interleukin-17A
Q12968,NFATC3,Nuclear factor of activated T-cells
Q14435,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3
P05113,IL5,Interleukin-5
P01375,TNF,Tumor necrosis factor
Q92844,TANK,TRAF family member-associated NF-kappa-B activator
O43597,SPRY2,Protein sprouty homolog 2
P13693,TPT1,Translationally-controlled tumor protein
Q9P0M4,IL17C,Interleukin-17C
Q7Z739,YTHDF3,YTH domain-containing family protein 3
P42768,WAS,Actin nucleation-promoting factor WAS
Q96RJ3,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C
Q8TAD2,IL17D,Interleukin-17D
Q7Z6M3,MILR1,Allergin-1
P30048,PRDX3,Thioredoxin-dependent peroxide reductase
Q05084,ICA1,Islet cell autoantigen 1
P51617,IRAK1,Interleukin-1 receptor-associated kinase 1
P42701,IL12RB1,Interleukin-12 receptor subunit beta-1
Q9HB29,IL1RL2,Interleukin-1 receptor-like 2
P01583,IL1A,Interleukin-1 alpha
P32456,GBP2,Guanylate-binding protein 2
P12034,FGF5,Fibroblast growth factor 5
P09919,CSF3,Granulocyte colony-stimulating factor
Q9BXJ7,AMN,Protein amnionless
P18564,ITGB6,Integrin beta-6
P01591,JCHAIN,Immunoglobulin J chain
P01579,IFNG,Interferon gamma
Q13291,SLAMF1,Signaling lymphocytic activation molecule
Q8N8S7,ENAH,Protein enabled homolog
Q13261,IL15RA,Interleukin-15 receptor subunit alpha
P09874,PARP1,Poly [ADP-ribose] polymerase 1
Q0Z7S8,FABP9,Fatty acid-binding protein 9
P78362,SRPK2,SRSF protein kinase 2
P09038,FGF2,Fibroblast growth factor 2
O43736,ITM2A,Integral membrane protein 2A
O14867,BACH1,Transcription regulator protein BACH1
Q8IU57,IFNLR1,Interferon lambda receptor 1
Q12933,TRAF2,TNF receptor-associated factor 2
Q06520,SULT2A1,Sulfotransferase 2A1
O60575,SPINK4,Serine protease inhibitor Kazal-type 4
Q9Y5A7,NUB1,NEDD8 ultimate buster 1
O60542,PSPN,Persephin
P30838,ALDH3A1,Aldehyde dehydrogenase
O43521-2,BCL2L11,Bcl-2-like protein 11
O60880,SH2D1A,SH2 domain-containing protein 1A
Q12778,FOXO1,Forkhead box protein O1
Q7L8A9,VASH1,Tubulinyl-Tyr carboxypeptidase 1
P55957,BID,BH3-interacting domain death agonist
Q6UB28,METAP1D,Methionine aminopeptidase 1D
P01903,HLA-DRA,HLA class II histocompatibility antigen
Q92609,TBC1D5,TBC1 domain family member 5
P01588,EPO,Erythropoietin
P80098,CCL7,C-C motif chemokine 7
Q9UN19,DAPP1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
Q9UNE0,EDAR,Tumor necrosis factor receptor superfamily member EDAR
Q9C035,TRIM5,Tripartite motif-containing protein 5
Q8N608,DPP10,Inactive dipeptidyl peptidase 10
P23229,ITGA6,Integrin alpha-6
Q6DN72,FCRL6,Fc receptor-like protein 6
P33241,LSP1,Lymphocyte-specific protein 1
Q9UNK0,STX8,Syntaxin-8
P13747,HLA-E,HLA class I histocompatibility antigen
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21
O75475,PSIP1,PC4 and SFRS1-interacting protein
P13232,IL7,Interleukin-7
Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like
Q96LC7,SIGLEC10,Sialic acid-binding Ig-like lectin 10
B1AKI9,ISM1,Isthmin-1
Q6ZMH5,SLC39A5,Zinc transporter ZIP5
P78410,BTN3A2,Butyrophilin subfamily 3 member A2
P12872,MLN,Promotilin
Q12765,SCRN1,Secernin-1
P58294,PROK1,Prokineticin-1
Q9Y6K9,IKBKG,NF-kappa-B essential modulator
O95644,NFATC1,Nuclear factor of activated T-cells
Q9Y258,CCL26,C-C motif chemokine 26
Q8WTT0,CLEC4C,C-type lectin domain family 4 member C
Q3KPI0,CEACAM21,Carcinoembryonic antigen-related cell adhesion molecule 21
Q9BT73,PSMG3,Proteasome assembly chaperone 3
P20849,COL9A1,Collagen alpha-1(IX) chain
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein
P52564,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6
Q9H0P0,NT5C3A,Cytosolic 5'-nucleotidase 3A
Q9NZN5,ARHGEF12,Rho guanine nucleotide exchange factor 12
P42575,CASP2,Caspase-2
Q9UHC6,CNTNAP2,Contactin-associated protein-like 2
P45984,MAPK9,Mitogen-activated protein kinase 9
P11274,BCR,Breakpoint cluster region protein
Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2
Q14242,SELPLG,P-selectin glycoprotein ligand 1
P78310,CXADR,Coxsackievirus and adenovirus receptor
P40933,IL15,Interleukin-15
P05231,IL6,Interleukin-6
P24071,FCAR,Immunoglobulin alpha Fc receptor
Q01151,CD83,CD83 antigen
O76036,NCR1,Natural cytotoxicity triggering receptor 1
P19878,NCF2,Neutrophil cytosol factor 2
P23582,NPPC,C-type natriuretic peptide
Q9NRJ3,CCL28,C-C motif chemokine 28
P26022,PTX3,Pentraxin-related protein PTX3
Q03431,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor
Q9GZT9,EGLN1,Egl nine homolog 1
Q9UMR7,CLEC4A,C-type lectin domain family 4 member A
P13725,OSM,Oncostatin-M
P28845,HSD11B1,11-beta-hydroxysteroid dehydrogenase 1
P24394,IL4R,Interleukin-4 receptor subunit alpha
Q9NWZ3,IRAK4,Interleukin-1 receptor-associated kinase 4
Q14773,ICAM4,Intercellular adhesion molecule 4
Q16698,DECR1,2
O60449,LY75,Lymphocyte antigen 75
Q9UKX5,ITGA11,Integrin alpha-11
O15169,AXIN1,Axin-1
P50995,ANXA11,Annexin A11
P01730,CD4,T-cell surface glycoprotein CD4
Q9NRM6,IL17RB,Interleukin-17 receptor B
P01374,LTA,Lymphotoxin-alpha
Q6ZUJ8,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1
P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase
O94992,HEXIM1,Protein HEXIM1
Q6UXB4,CLEC4G,C-type lectin domain family 4 member G
P20783,NTF3,Neurotrophin-3
O14788,TNFSF11,Tumor necrosis factor ligand superfamily member 11
Q29980_Q29983,MICB_MICA,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
Q8NDB2,BANK1,B-cell scaffold protein with ankyrin repeats
Q8TD46,CD200R1,Cell surface glycoprotein CD200 receptor 1
P08727,KRT19,Keratin
Q9HCM2,PLXNA4,Plexin-A4
P28827,PTPRM,Receptor-type tyrosine-protein phosphatase mu
P32970,CD70,CD70 antigen
P01135,TGFA,Protransforming growth factor alpha
Q01344,IL5RA,Interleukin-5 receptor subunit alpha
Q9NQ25,SLAMF7,SLAM family member 7
P41217,CD200,OX-2 membrane glycoprotein
P10144,GZMB,Granzyme B
P24001,IL32,Interleukin-32
P42702,LIFR,Leukemia inhibitory factor receptor
Q9UIB8,CD84,SLAM family member 5
P20340,RAB6A,Ras-related protein Rab-6A
Q8WXI8,CLEC4D,C-type lectin domain family 4 member D
P10147,CCL3,C-C motif chemokine 3
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10
O15455,TLR3,Toll-like receptor 3
P80162,CXCL6,C-X-C motif chemokine 6
Q08174,PCDH1,Protocadherin-1
P37235,HPCAL1,Hippocalcin-like protein 1
P29965,CD40LG,CD40 ligand
Q07065,CKAP4,Cytoskeleton-associated protein 4
P68106,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B
P22304,IDS,Iduronate 2-sulfatase
O00273,DFFA,DNA fragmentation factor subunit alpha
P01137,TGFB1,Transforming growth factor beta-1 proprotein
Q6UXB2,CXCL17,C-X-C motif chemokine 17
Q9Y266,NUDC,Nuclear migration protein nudC
O43508,TNFSF12,Tumor necrosis factor ligand superfamily member 12
Q04637,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1
P35613,BSG,Basigin
O60884,DNAJA2,DnaJ homolog subfamily A member 2
Q9BZW8,CD244,Natural killer cell receptor 2B4
Q12918,KLRB1,Killer cell lectin-like receptor subfamily B member 1
P50452,SERPINB8,Serpin B8
P10145,CXCL8,Interleukin-8
Q13241,KLRD1,Natural killer cells antigen CD94
Q14005,IL16,Pro-interleukin-16
O94856,NFASC,Neurofascin
P40259,CD79B,B-cell antigen receptor complex-associated protein beta chain
Q9BXN2,CLEC7A,C-type lectin domain family 7 member A
P20273,CD22,B-cell receptor CD22
Q9UQV4,LAMP3,Lysosome-associated membrane glycoprotein 3
Q96LA5,FCRL2,Fc receptor-like protein 2
O43561,LAT,Linker for activation of T-cells family member 1
P36959,GMPR,GMP reductase 1
Q15661,TPSAB1,Tryptase alpha/beta-1
Q96SB3,PPP1R9B,Neurabin-2
P30044,PRDX5,Peroxiredoxin-5
P00813,ADA,Adenosine deaminase
Q9Y6Q6,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A
O95971,CD160,CD160 antigen
P14317,HCLS1,Hematopoietic lineage cell-specific protein
P30203,CD6,T-cell differentiation antigen CD6
P15692,VEGFA,Vascular endothelial growth factor A
O75077,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23
Q13478,IL18R1,Interleukin-18 receptor 1
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4
P02745,C1QA,Complement C1q subcomponent subunit A
Q99616,CCL13,C-C motif chemokine 13
P14210,HGF,Hepatocyte growth factor
Q12866,MERTK,Tyrosine-protein kinase Mer
O00253,AGRP,Agouti-related protein
P43234,CTSO,Cathepsin O
P49771,FLT3LG,Fms-related tyrosine kinase 3 ligand
O43915,VEGFD,Vascular endothelial growth factor D
P12544,GZMA,Granzyme A
Q9H4D0,CLSTN2,Calsyntenin-2
P48023,FASLG,Tumor necrosis factor ligand superfamily member 6
P29460,IL12B,Interleukin-12 subunit beta
Q15517,CDSN,Corneodesmosin
P51671,CCL11,Eotaxin
Q16719,KYNU,Kynureninase
Q9HBG7,LY9,T-lymphocyte surface antigen Ly-9
P78556,CCL20,C-C motif chemokine 20
P03956,MMP1,Interstitial collagenase
P49763,PGF,Placenta growth factor
O15444,CCL25,C-C motif chemokine 25
Q07325,CXCL9,C-X-C motif chemokine 9
Q92484,SMPDL3A,Cyclic GMP-AMP phosphodiesterase SMPDL3A
P21709,EPHA1,Ephrin type-A receptor 1
P15260,IFNGR1,Interferon gamma receptor 1
P53634,CTSC,Dipeptidyl peptidase 1
Q5ZPR3,CD276,CD276 antigen
Q9UJU6,DBNL,Drebrin-like protein
P30613,PKLR,Pyruvate kinase PKLR
O43639,NCK2,Cytoplasmic protein NCK2
P35625,TIMP3,Metalloproteinase inhibitor 3
P47712,PLA2G4A,Cytosolic phospholipase A2
O00585,CCL21,C-C motif chemokine 21
P09238,MMP10,Stromelysin-2
P11684,SCGB1A1,Uteroglobin
Q6UWV6,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
Q9BZZ2,SIGLEC1,Sialoadhesin
P25116,F2R,Proteinase-activated receptor 1
P09326,CD48,CD48 antigen
P55773,CCL23,C-C motif chemokine 23
Q14116,IL18,Interleukin-18
P13236,CCL4,C-C motif chemokine 4
Q08334,IL10RB,Interleukin-10 receptor subunit beta
P02778,CXCL10,C-X-C motif chemokine 10
P01133,EGF,Pro-epidermal growth factor
O75462,CRLF1,Cytokine receptor-like factor 1
P18510,IL1RN,Interleukin-1 receptor antagonist protein
Q9NZV1,CRIM1,Cysteine-rich motor neuron 1 protein
O14836,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B
Q9BY76,ANGPTL4,Angiopoietin-related protein 4
O76096,CST7,Cystatin-F
P21860,ERBB3,Receptor tyrosine-protein kinase erbB-3
Q99435,NELL2,Protein kinase C-binding protein NELL2
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor
Q14210,LY6D,Lymphocyte antigen 6D
P29279,CCN2,CCN family member 2
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4
Q99685,MGLL,Monoglyceride lipase
Q8NFT8,DNER,Delta and Notch-like epidermal growth factor-related receptor
Q7KYR7,BTN2A1,Butyrophilin subfamily 2 member A1
P34896,SHMT1,Serine hydroxymethyltransferase
O95750,FGF19,Fibroblast growth factor 19
P19256,CD58,Lymphocyte function-associated antigen 3
P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6
P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A
P09603,CSF1,Macrophage colony-stimulating factor 1
O43291,SPINT2,Kunitz-type protease inhibitor 2
P12532,CKMT1A,
Q9Y3D6,FIS1,Mitochondrial fission 1 protein
Q96PL1,SCGB3A2,Secretoglobin family 3A member 2
P25942,CD40,Tumor necrosis factor receptor superfamily member 5
Q99983,OMD,Osteomodulin
Q9UKU9,ANGPTL2,Angiopoietin-related protein 2
P22466,GAL,Galanin peptides
Q8WXD2,SCG3,Secretogranin-3
Q9NR12,PDLIM7,PDZ and LIM domain protein 7
Q9H3U7,SMOC2,SPARC-related modular calcium-binding protein 2
Q9NZC2,TREM2,Triggering receptor expressed on myeloid cells 2
O75888,TNFSF13,Tumor necrosis factor ligand superfamily member 13
Q9Y6N7,ROBO1,Roundabout homolog 1
O00300,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B
Q9UJA9,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
Q6GTX8,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1
Q5KU26,COLEC12,Collectin-12
O00241,SIRPB1,Signal-regulatory protein beta-1
Q15389,ANGPT1,Angiopoietin-1
P01127,PDGFB,Platelet-derived growth factor subunit B
P46109,CRKL,Crk-like protein
P16422,EPCAM,Epithelial cell adhesion molecule
O43598,DNPH1,5-hydroxymethyl-dUMP N-hydrolase
Q92583,CCL17,C-C motif chemokine 17
Q96KG7,MEGF10,Multiple epidermal growth factor-like domains protein 10
P24387,CRHBP,Corticotropin-releasing factor-binding protein
P56470,LGALS4,Galectin-4
Q9H008,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
O14773,TPP1,Tripeptidyl-peptidase 1
Q6UXH1,CRELD2,Protein disulfide isomerase CRELD2
Q99895,CTRC,Chymotrypsin-C
Q9NQ76,MEPE,Matrix extracellular phosphoglycoprotein
Q4KMG0,CDON,Cell adhesion molecule-related/down-regulated by oncogenes
Q9UHX3,ADGRE2,Adhesion G protein-coupled receptor E2
Q15109,AGER,Advanced glycosylation end product-specific receptor
P27930,IL1R2,Interleukin-1 receptor type 2
Q9NQ30,ESM1,Endothelial cell-specific molecule 1
Q9HCB6,SPON1,Spondin-1
Q9UII2,ATP5IF1,ATPase inhibitor
O75563,SKAP2,Src kinase-associated phosphoprotein 2
P09341,CXCL1,Growth-regulated alpha protein
Q16651,PRSS8,Prostasin
Q03405,PLAUR,Urokinase plasminogen activator surface receptor
O00626,CCL22,C-C motif chemokine 22
P51888,PRELP,Prolargin
O00339,MATN2,Matrilin-2
P36941,LTBR,Tumor necrosis factor receptor superfamily member 3
Q16363,LAMA4,Laminin subunit alpha-4
P19883,FST,Follistatin
Q9BU40,CHRDL1,Chordin-like protein 1
O00175,CCL24,C-C motif chemokine 24
Q99538,LGMN,Legumain
Q14118,DAG1,Dystroglycan 1
P54317,PNLIPRP2,Pancreatic lipase-related protein 2
Q8IYS5,OSCAR,Osteoclast-associated immunoglobulin-like receptor
